,RMSE_val,RMSE_train,normalize_function,model_name,model_type,window_len,scaller,rnn_cells,extra_hidden_layer
57,3.9052102159990865,4.174340919422724,diff,LSTM2_RNN-49-W_LEN-MiMax-SCL-64-RNN_S-1590105998,LSTM2_RNN,49,MiMax,64,1
58,3.9080262818813813,4.109281509566189,diff,LSTM2_RNN-49-W_LEN-MiMax-SCL-256-RNN_S-1590106255,LSTM2_RNN,49,MiMax,256,0
59,4.205635823961165,4.536799500950657,diff,LSTM2_RNN-49-W_LEN-MiMax-SCL-256-RNN_S-1590106739,LSTM2_RNN,49,MiMax,256,1
60,3.6810888031469826,3.0267832136496104,diff,LSTM2_RNN-7-W_LEN-STD-SCL-64-RNN_S-1590107232,LSTM2_RNN,7,STD,64,0
61,3.721103704949227,3.650694246970868,diff,LSTM2_RNN-7-W_LEN-STD-SCL-64-RNN_S-1590107321,LSTM2_RNN,7,STD,64,1
62,6.18935132833397,5.959276370491039,diff,LSTM2_RNN-7-W_LEN-STD-SCL-256-RNN_S-1590107409,LSTM2_RNN,7,STD,256,0
63,3.8460565717030017,3.769568017218056,diff,LSTM2_RNN-7-W_LEN-STD-SCL-256-RNN_S-1590107537,LSTM2_RNN,7,STD,256,1
64,3.9624130393579886,2.6584114597553654,diff,LSTM2_RNN-14-W_LEN-STD-SCL-64-RNN_S-1590107657,LSTM2_RNN,14,STD,64,0
65,4.515417665009514,4.992899344487012,diff,LSTM2_RNN-14-W_LEN-STD-SCL-64-RNN_S-1590107757,LSTM2_RNN,14,STD,64,1
66,3.8418791898678015,4.019656412726831,diff,LSTM2_RNN-14-W_LEN-STD-SCL-256-RNN_S-1590107853,LSTM2_RNN,14,STD,256,0
67,3.940438244637085,4.072526103943536,diff,LSTM2_RNN-14-W_LEN-STD-SCL-256-RNN_S-1590108018,LSTM2_RNN,14,STD,256,1
68,3.9242319856485017,3.3553240987250113,diff,LSTM2_RNN-21-W_LEN-STD-SCL-64-RNN_S-1590108185,LSTM2_RNN,21,STD,64,0
69,4.000926029593878,3.120362398309956,diff,LSTM2_RNN-21-W_LEN-STD-SCL-64-RNN_S-1590108321,LSTM2_RNN,21,STD,64,1
70,3.935245297398687,4.011669757537473,diff,LSTM2_RNN-21-W_LEN-STD-SCL-256-RNN_S-1590108461,LSTM2_RNN,21,STD,256,0
