time_window,p,d,q,P,D,Q,m,t,RMSE
365,2,0,0,2,0,1,7,None,0.040443242558445
90,0,0,1,0,0,0,0,None,0.043899792217522
90,1,0,1,1,0,0,0,None,None
90,1,0,1,1,0,0,7,None,0.042420135846742
90,0,0,0,2,0,0,7,None,0.041490744078255
90,0,0,0,1,0,1,0,None,None
90,1,0,0,1,0,1,0,None,None
90,1,0,0,1,0,1,7,None,0.040340974925761
90,0,0,1,0,0,1,0,None,None
90,0,0,1,0,0,1,7,None,0.043060115704203
90,2,0,1,0,0,0,7,None,0.043043914034534
90,0,0,1,1,0,1,7,None,0.040417007476197
90,0,0,0,0,0,1,0,None,None
90,0,0,1,2,0,0,0,None,None
90,0,0,1,2,0,0,7,None,0.04215492302722
90,0,0,1,0,0,0,7,None,0.043899792217522
90,1,0,1,1,0,1,0,None,None
90,1,0,1,1,0,1,7,None,None
90,2,0,0,1,0,0,0,None,None
90,2,0,0,1,0,0,7,None,0.042158478370751
90,1,0,0,0,0,0,7,None,0.043671490279801
90,1,0,1,0,0,1,0,None,None
90,1,0,1,0,0,1,7,None,0.042554731310262
90,1,0,0,2,0,0,0,None,None
90,1,0,0,2,0,0,7,None,0.042006083238783
90,0,0,0,0,0,0,7,None,0.043503301652363
90,1,0,1,0,0,0,0,None,0.043284834543534
90,2,0,0,0,0,0,7,None,0.042887985692734
90,2,0,1,0,0,0,0,None,0.043043914034534
90,2,0,1,2,0,0,0,None,None
90,2,0,1,2,0,0,7,None,None
90,0,0,0,1,0,0,7,None,0.042351527413015
90,1,0,1,2,0,0,0,None,None
90,1,0,1,2,0,0,7,None,None
90,2,0,1,0,0,1,0,None,None
90,2,0,1,0,0,1,7,None,0.042274062385812
90,0,0,0,1,0,0,0,None,None
90,0,0,1,2,0,1,7,None,None
90,1,0,0,1,0,0,0,None,None
90,1,0,0,1,0,0,7,None,0.04275231789721
90,2,0,0,1,0,1,0,None,None
90,2,0,0,1,0,1,7,None,0.040233453714783
90,0,0,0,1,0,1,7,None,0.039948670906948
90,2,0,1,1,0,0,0,None,None
90,2,0,1,1,0,0,7,None,0.042241593742608
90,0,0,0,2,0,0,0,None,None
90,0,0,0,2,0,1,0,None,None
90,0,0,0,2,0,1,7,None,0.041141839305216
90,0,0,0,0,0,1,7,None,0.042620418053718
90,1,0,1,2,0,1,0,None,None
90,1,0,1,2,0,1,7,None,None
90,2,0,1,1,0,1,0,None,None
90,2,0,1,1,0,1,7,None,None
90,0,0,1,1,0,1,0,None,None
90,1,0,0,0,0,1,0,None,None
90,1,0,0,0,0,1,7,None,0.042893721253282
90,2,0,0,2,0,0,0,None,None
90,2,0,0,2,0,0,7,None,0.041735985619461
90,0,0,0,0,0,0,0,None,0.043503301652363
90,1,0,0,2,0,1,0,None,None
90,1,0,0,2,0,1,7,None,None
90,0,0,1,2,0,1,0,None,None
90,1,0,0,0,0,0,0,None,0.043671490279801
90,1,0,1,0,0,0,7,None,0.043284834543534
90,2,0,0,0,0,0,0,None,0.042887985692734
90,2,0,0,2,0,1,0,None,None
90,2,0,0,2,0,1,7,None,0.041252134719342
90,0,0,1,1,0,0,0,None,None
90,0,0,1,1,0,0,7,None,0.042768393783324
90,2,0,0,0,0,1,0,None,None
90,2,0,0,0,0,1,7,None,0.0422274781188
90,2,0,1,2,0,1,0,None,None
90,2,0,1,2,0,1,7,None,0.041257312883064
