data_set,window,p,d,q,P,D,Q,m,t,RMSE
pct_change,730,1,0,0,1,0,0,7, None,3.8332993553367
pct_change,730,1,0,0,2,0,0,0, None, None
pct_change,730,1,0,0,2,0,0,7, None,3.74131983312647
pct_change,730,1,0,1,0,0,0,0, None,4.0143156376635
pct_change,730,1,0,1,0,0,0,7, None,4.0143156376635
pct_change,730,1,0,1,0,0,1,0, None, None
pct_change,730,1,0,1,0,0,1,7, None,3.9744703389215
pct_change,730,1,0,1,1,0,1,0, None, None
pct_change,730,1,0,1,1,0,1,7, None,3.75405064043028
pct_change,730,2,0,0,1,0,1,0, None, None
pct_change,730,2,0,0,1,0,1,7, None,3.86236684800035
pct_change,730,2,0,1,1,0,0,0, None, None
pct_change,730,2,0,1,1,0,0,7, None,3.98114653246569
pct_change,730,2,0,1,2,0,0,0, None, None
pct_change,730,2,0,1,2,0,0,7, None,3.86596908187459
pct_change,730,0,0,0,0,0,0,0, None,98.6498602969851
pct_change,730,0,0,0,1,0,1,0, None, None
pct_change,730,0,0,0,1,0,1,7, None,7.53990328479052
pct_change,730,0,0,1,1,0,0,0, None, None
pct_change,730,0,0,1,1,0,0,7, None,5.54021218837067
pct_change,730,0,0,1,2,0,0,0, None, None
pct_change,730,0,0,1,2,0,0,7, None,8.08453506660741
pct_change,730,1,0,0,2,0,1,0, None, None
pct_change,730,1,0,0,2,0,1,7, None,3.60416549367333
pct_change,730,2,0,0,2,0,0,0, None, None
pct_change,730,2,0,0,2,0,0,7, None,3.92048928986989
pct_change,730,2,0,1,0,0,0,0, None,4.03332472395133
pct_change,730,2,0,1,0,0,0,7, None,4.03332472395133
pct_change,730,2,0,1,0,0,1,0, None, None
pct_change,730,2,0,1,0,0,1,7, None,3.99386376330843
pct_change,730,2,0,1,1,0,1,0, None, None
pct_change,730,2,0,1,1,0,1,7, None,3.85197119418485
pct_change,730,0,0,0,0,0,1,7, None,51.4833971740376
pct_change,730,0,0,1,0,0,1,0, None, None
pct_change,730,0,0,1,0,0,1,7, None,30.180186457105
pct_change,730,0,0,1,2,0,1,0, None, None
pct_change,730,0,0,1,2,0,1,7, None,20.9410263042782
pct_change,730,1,0,1,2,0,1,0, None, None
pct_change,730,1,0,1,2,0,1,7, None,3.78588117273295
pct_change,730,2,0,1,2,0,1,0, None, None
pct_change,730,2,0,1,2,0,1,7, None,3.81385166048973
pct_change,365,0,0,0,0,0,1,7, None,52.0477747931745
pct_change,365,0,0,1,0,0,0,0, None,53.4402778400409
pct_change,365,0,0,1,0,0,0,7, None,53.4402778400409
pct_change,365,0,0,1,1,0,1,0, None, None
pct_change,365,0,0,1,1,0,1,7, None,8.93887998413857
pct_change,365,1,0,0,2,0,1,0, None, None
pct_change,365,1,0,0,2,0,1,7, None,3.75725166071562
pct_change,365,2,0,0,0,0,0,0, None,4.07089044764862
pct_change,365,2,0,0,0,0,0,7, None,4.07089044764862
pct_change,365,2,0,0,1,0,0,0, None, None
pct_change,365,2,0,0,1,0,0,7, None,4.16836442248602
pct_change,365,2,0,0,2,0,1,0, None, None
pct_change,365,2,0,0,2,0,1,7, None,3.64296109096045
pct_change,365,0,0,0,0,0,0,7, None,98.6498602969851
pct_change,365,0,0,0,2,0,0,0, None, None
pct_change,365,0,0,0,2,0,0,7, None,7.49933954714969
pct_change,365,0,0,1,0,0,1,0, None, None
pct_change,365,0,0,1,0,0,1,7, None,31.6612640363765
pct_change,365,0,0,1,2,0,0,0, None, None
pct_change,365,0,0,1,2,0,0,7, None,7.96057193689441
pct_change,365,1,0,0,2,0,0,0, None, None
pct_change,365,1,0,0,2,0,0,7, None,3.7918527857815
pct_change,365,1,0,1,0,0,0,7, None,4.03922660508941
pct_change,365,1,0,1,1,0,0,0, None, None
pct_change,365,1,0,1,1,0,0,7, None,4.00977925833358
pct_change,365,1,0,1,1,0,1,0, None, None
pct_change,365,1,0,1,1,0,1,7, None,3.78200318737607
pct_change,365,2,0,0,1,0,1,0, None, None
pct_change,365,2,0,0,1,0,1,7, None,3.64561610436278
pct_change,365,2,0,1,1,0,1,0, None, None
pct_change,365,2,0,1,1,0,1,7, None,3.81709012293223
pct_change,365,0,0,0,0,0,0,0, None,98.6498602969851
pct_change,365,0,0,0,1,0,1,0, None, None
pct_change,365,0,0,0,1,0,1,7, None,7.98238657471766
pct_change,365,0,0,1,1,0,0,0, None, None
pct_change,365,0,0,1,1,0,0,7, None,5.54243760949956
pct_change,365,0,0,1,2,0,1,0, None, None
pct_change,365,0,0,1,2,0,1,7, None,9.39369457734865
pct_change,365,1,0,1,2,0,1,0, None, None
pct_change,365,1,0,1,2,0,1,7, None,3.81832961889742
pct_change,365,2,0,1,0,0,1,0, None, None
pct_change,365,2,0,1,0,0,1,7, None,4.1176973921149
pct_change,365,2,0,1,2,0,0,0, None, None
pct_change,365,2,0,1,2,0,0,7, None,3.92581676841253
pct_change,365,0,0,0,0,0,1,0, None, None
pct_change,365,0,0,0,1,0,0,0, None, None
pct_change,365,0,0,0,1,0,0,7, None,7.39516674763001
pct_change,365,0,0,0,2,0,1,0, None, None
pct_change,365,0,0,0,2,0,1,7, None,8.18502861693439
pct_change,365,1,0,0,0,0,0,0, None,3.87840791514376
pct_change,365,1,0,0,0,0,0,7, None,3.87840791514376
pct_change,365,1,0,0,0,0,1,0, None, None
pct_change,365,1,0,0,0,0,1,7, None,3.92869766171493
pct_change,365,1,0,0,1,0,0,0, None, None
pct_change,365,1,0,0,1,0,0,7, None,3.83874362215946
pct_change,365,1,0,0,1,0,1,0, None, None
pct_change,365,1,0,0,1,0,1,7, None,3.75442019456014
pct_change,365,1,0,1,0,0,0,0, None,4.03922660508941
pct_change,365,1,0,1,0,0,1,0, None, None
pct_change,365,1,0,1,0,0,1,7, None,4.10046850224766
pct_change,365,1,0,1,2,0,0,0, None, None
pct_change,365,1,0,1,2,0,0,7, None,3.88621430684538
pct_change,365,2,0,0,0,0,1,0, None, None
pct_change,365,2,0,0,0,0,1,7, None,4.10941929909109
pct_change,365,2,0,0,2,0,0,0, None, None
pct_change,365,2,0,0,2,0,0,7, None,3.84996267884797
pct_change,365,2,0,1,0,0,0,0, None,4.05702673472996
pct_change,365,2,0,1,0,0,0,7, None,4.05702673472996
pct_change,365,2,0,1,1,0,0,0, None, None
pct_change,365,2,0,1,1,0,0,7, None,4.01615596244657
pct_change,365,2,0,1,2,0,1,0, None, None
