kontrakty RTT dla gazu ziemnego dla okresu od;2016-01-01;do;2020-05-14;

data obrotu;instrument;kurs pierwszej transakcji (PLN/MWh);DKR (PLN/MWh);kurs min. (PLN/MWh);kurs max. (PLN/MWh);wolumen (MWh);liczba kontraktow;wartosc obrotu (PLN);liczba transakcji;najlepsza oferta kupna (PLN/MWh);najlepsza oferta sprzedazy (PLN/MWh);LOP (MWh);LOP w liczbie kontraktow;wolumen od poczatku notowan (MWh);liczba kontraktow od poczatku notowan
2016-01-12;GAS_BASE_S-W-16;-;74.00;-;-;-;-;-;-;73.50;74.50;1231776.00;282.00;1869504.00;428.00
2016-01-12;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-12;GAS_BASE_Y-17;72.50;72.53;72.50;72.55;52560.00;6.00;3811038.00;2.00;73.00;72.55;8619840.00;984.00;9495840.00;1084.00
2016-01-12;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;71.00;76.50;-;-;-;-
2016-01-13;GAS_BASE_W-03-16;74.30;74.01;74.00;74.30;94080.00;560.00;6976478.88;25.00;74.30;74.00;119280.00;710.00;119280.00;710.00
2016-01-13;GAS_BASE_W-04-16;74.30;74.19;74.00;74.30;29904.00;178.00;2217667.20;6.00;74.30;74.00;29904.00;178.00;29904.00;178.00
2016-01-13;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;71.00;73.00;-;-;-;-
2016-01-13;GAS_BASE_W-06-16;-;-;-;-;-;-;-;-;71.00;-;-;-;-;-
2016-01-13;GAS_BASE_M-02-16;70.50;70.35;70.05;70.50;11832.00;17.00;831998.40;6.00;70.50;70.10;9457944.00;13589.00;619440.00;890.00
2016-01-13;GAS_BASE_M-03-16;-;68.26;-;-;-;-;-;-;68.01;68.50;9580242.00;12894.00;82473.00;111.00
2016-01-13;GAS_BASE_M-04-16;68.00;68.00;68.00;68.00;14400.00;20.00;979200.00;2.00;68.00;68.00;151200.00;210.00;183600.00;255.00
2016-01-13;GAS_BASE_Q-2-16;68.00;68.00;68.00;68.00;10920.00;5.00;742560.00;1.00;68.00;67.75;9218664.00;4221.00;965328.00;442.00
2016-01-13;GAS_BASE_Q-3-16;-;66.63;-;-;-;-;-;-;66.00;67.25;8891616.00;4027.00;483552.00;219.00
2016-01-13;GAS_BASE_Q-4-16;73.50;73.50;73.50;73.50;2209.00;1.00;162361.50;1.00;73.50;73.50;9392668.00;4252.00;1139844.00;516.00
2016-01-13;GAS_BASE_Q-1-17;-;74.75;-;-;-;-;-;-;74.00;75.50;10795.00;5.00;15113.00;7.00
2016-01-13;GAS_BASE_S-S-16;-;67.13;-;-;-;-;-;-;66.75;67.50;786168.00;179.00;1730448.00;394.00
2016-01-13;GAS_BASE_S-W-16;-;74.00;-;-;-;-;-;-;73.50;74.50;1231776.00;282.00;1869504.00;428.00
2016-01-13;GAS_BASE_S-S-17;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2016-01-13;GAS_BASE_Y-17;72.50;72.50;72.50;72.50;8760.00;1.00;635100.00;1.00;72.50;72.50;8628600.00;985.00;9504600.00;1085.00
2016-01-13;GAS_BASE_Y-18;-;-;-;-;-;-;-;-;70.50;76.50;-;-;-;-
2016-01-14;GAS_BASE_W-03-16;73.00;72.95;72.80;73.00;45360.00;270.00;3308340.00;7.00;73.00;72.80;164640.00;980.00;164640.00;980.00
2016-01-14;GAS_BASE_W-04-16;-;72.75;-;-;-;-;-;-;72.50;73.00;29904.00;178.00;29904.00;178.00
2016-01-14;GAS_BASE_W-05-16;-;-;-;-;-;-;-;-;68.50;-;-;-;-;-
2016-01-14;GAS_BASE_W-06-16;-;-;-;-;-;-;-;-;68.25;-;-;-;-;-
2016-01-14;GAS_BASE_M-02-16;69.15;69.15;69.15;69.15;1392.00;2.00;96256.80;1.00;69.15;69.15;9457944.00;13589.00;620832.00;892.00
2016-01-14;GAS_BASE_M-03-16;-;67.25;-;-;-;-;-;-;66.00;68.50;9580242.00;12894.00;82473.00;111.00
2016-01-14;GAS_BASE_M-04-16;67.50;67.23;67.20;67.50;64800.00;90.00;4358880.00;17.00;67.50;67.20;203760.00;283.00;248400.00;345.00
