TransactionDate,TGEgasDA
2017-04-08,75.09
2017-04-09,72.47
2017-04-10,74.07
2017-04-11,73.6
2017-04-12,72.85
2017-04-13,73.5
2017-04-14,73.62
2017-04-15,72.98
2017-04-16,73.01
2017-04-17,73.1
2017-04-18,75.85
2017-04-19,79.98
2017-04-20,81.44
2017-04-21,80.2
2017-04-22,78.78
2017-04-23,77.99
2017-04-24,78.63
2017-04-25,80.56
2017-04-26,79.33
2017-04-27,79.51
2017-04-28,79.41477454795147
2017-04-29,78.71846243447872
2017-04-30,78.52267657992564
2017-05-01,80.00520114942528
2017-05-02,78.22956774427897
2017-05-03,79.56702081526453
2017-05-04,78.61135560988862
2017-05-05,77.04993246893574
2017-05-06,75.57175925925925
2017-05-07,73.38945841392649
2017-05-08,78.20615700359158
2017-05-09,74.60333209578616
2017-05-10,76.87627998737372
2017-05-11,76.65642105263157
2017-05-12,75.75147730930158
2017-05-13,73.68342904019688
2017-05-14,71.1779012345679
2017-05-15,72.95518628912072
2017-05-16,73.10427650849444
2017-05-17,72.96063150074293
2017-05-18,71.87983584131327
2017-05-19,69.8805452292441
2017-05-20,68.05882352941177
2017-05-21,65.0918309859155
2017-05-22,70.76278260869566
2017-05-23,70.42874592833876
2017-05-24,70.44573717948718
2017-05-25,71.333847631242
2017-05-26,69.807284144427
2017-05-27,69.34313725490196
2017-05-28,59.21600831600832
2017-05-29,62.59680803571428
2017-05-30,67.09835616438356
2017-05-31,70.96457023060796
2017-06-01,70.57705272255832
2017-06-02,69.83247252747253
2017-06-03,67.90518518518519
2017-06-04,63.441420118343196
2017-06-05,67.80785824345146
2017-06-06,69.89639696586599
2017-06-07,69.32531690140844
2017-06-08,68.94808612440191
2017-06-09,69.81607947019867
2017-06-10,68.8257225433526
2017-06-11,62.76136363636363
2017-06-12,68.30502512562813
2017-06-13,68.73667076167075
2017-06-14,68.68377088305489
2017-06-15,65.30682051282051
2017-06-16,64.54508426966292
2017-06-17,66.65775862068966
2017-06-18,67.621875
2017-06-19,67.77486126526081
2017-06-20,68.61201353637901
2017-06-21,68.85680127523909
2017-06-22,74.33839032088375
2017-06-23,68.06134983127109
2017-06-24,65.93684210526315
2017-06-25,60.93578431372549
2017-06-26,67.36697247706422
2017-06-27,68.45133657351154
2017-06-28,68.9811296534018
2017-06-29,69.924056372549
2017-06-30,70.36889367816092
2017-07-01,69.35128755364806
2017-07-02,69.47744186046512
2017-07-03,69.92095959595959
2017-07-04,70.53055964653903
2017-07-05,71.02680486061472
2017-07-06,70.81379542395695
2017-07-07,70.49098428453267
2017-07-08,69.92839805825243
2017-07-09,66.90405405405404
2017-07-10,70.47267930750205
2017-07-11,69.04201208981
2017-07-12,68.98081487341773
2017-07-13,69.01015602836878
2017-07-14,68.83281476121564
2017-07-15,68.27790322580644
2017-07-16,64.93939393939394
2017-07-17,68.74024713150926
2017-07-18,69.14005271084336
2017-07-19,69.29717478052673
2017-07-20,68.82750766871166
2017-07-21,69.79154564315353
2017-07-22,69.48076923076923
2017-07-23,66.98529411764706
2017-07-24,69.44919093851134
2017-07-25,69.77074372759857
2017-07-26,69.05194174757281
2017-07-27,70.12488945578232
2017-07-28,70.27198712051519
2017-07-29,69.25784313725491
2017-07-30,62.30330917874396
2017-07-31,69.01470027247956
2017-08-01,69.25895638629284
2017-08-02,68.17378716744913
2017-08-03,68.20232014388489
2017-08-04,68.55933209647496
2017-08-05,65.84844559585493
2017-08-06,64.12088832487309
2017-08-07,69.66318965517245
2017-08-08,70.42797619047619
2017-08-09,71.42938949938949
2017-08-10,72.01890322580647
2017-08-11,73.69875207986688
2017-08-12,71.83653846153847
2017-08-13,70.89812499999998
2017-08-14,72.28228699551569
2017-08-15,70.16906633906635
2017-08-16,72.46437223042835
2017-08-17,73.02849083215797
2017-08-18,74.23789013732834
2017-08-19,73.98828025477708
2017-08-20,73.46337837837837
2017-08-21,73.99016455696201
2017-08-22,74.9841121495327
2017-08-23,74.13693054518298
2017-08-24,75.0469964664311
2017-08-25,75.43717291255753
2017-08-26,74.1
2017-08-27,71.80662650602409
2017-08-28,76.15988467874791
2017-08-29,74.65048348106366
2017-08-30,74.86025166543303
2017-08-31,75.65905982905983
2017-09-01,75.13268595041322
2017-09-02,74.08873239436622
2017-09-03,72.56851851851852
2017-09-04,74.59189008042895
2017-09-05,74.18786492374727
2017-09-06,75.93195450716092
2017-09-07,77.219637345679
2017-09-08,76.754476534296
2017-09-09,76.21875
2017-09-10,72.7542372881356
2017-09-11,75.94587896253603
2017-09-12,78.84774919614148
2017-09-13,79.96693635382957
2017-09-14,81.02871908127209
